,cluster no,tweet id,tweet
197,197,1,"@NBCNews US service members were killed in the bombing ""while conducting a routine patrol"" in the Syrian city of Ma… https://t.co/0w8HoAhTN8"
198,198,2,President Trump will not withdraw US troops from northern Syria until Turkish government guarantees it won’t then a… https://t.co/XQb2XMXk7F
199,199,0,"Tourists flood California town to catch rare superbloom of poppies 🌼🌼🌼
[Tap to expand] https://t.co/r2dE6jnTwy https://t.co/noFI7euzOg"
200,200,2,A NASA spacecraft on New Year's Day went farther than any spacecraft has gone before — 4 billion miles from Earth. https://t.co/H3v4spAFZC
201,201,1,"In Opinion

James Comey writes: ""I am rooting for a demonstration to the world — and maybe most of all to our presi… https://t.co/gFu3yF59Wd"
202,202,2,@AFP French PM Edouard Philippe announced a suspension of hikes to fuel taxes in an effort to appease a protest mov… https://t.co/kySfXduCKd
203,203,2,@NBCNews @MSNBC President Trump to designate Dec. 5 as a National Day Of Mourning in the U.S. following the death o… https://t.co/ejDmEEcwew
204,204,0,"@NBCNews @MSNBC Former Pres. Obama: ""America has lost a patriot and humble servant in George H.W. Bush. While our h… https://t.co/ds83dXfBxp"
205,205,4,"A weeklong trip in Alaska was supposed to be an adventure. In an instant, it became the experience that changed eve… https://t.co/Re4SbeNtZa"
206,206,1,Marriott International says Friday that 5.25M unencrypted passport numbers were stolen as part of a data breach it… https://t.co/AcKoccUry0
207,207,3,"They were nicknamed ""Wall-E"" and ""EVE"" after the movie characters, and their successful journey to Mars could chang… https://t.co/ebukpDFQBh"
208,208,2,"@AP TASS reports citing the Russian FSB that three Ukrainian Navy vessels have been detained, ""weapons were used to… https://t.co/6rGFIsuNnu"
209,209,2,Ukrainian President Poroshenko convening emergency military meeting amid naval clashes with Russia as Ukrainian shi… https://t.co/2G9VlYDkjG
210,210,2,Dozens killed and injured as explosion rocks a religious gathering at a hall in Kabul - @TOLOnews / @AP
211,211,3,"@nbcchicago Chicago Police: Reports of multiple victims after shots fired in the area of Mercy Hospital: ""Avoid are… https://t.co/MqT8ZKuvch"
212,212,1,"A migrant family, part of a caravan of thousands traveling from Central America to the U.S., run from tear gas in f… https://t.co/HSz5RzDCun"
213,213,0,Stan Lee obituary: The genius of the superhero creator https://t.co/0EuMo0azGS
214,214,2,@kcranews LA Co. Sheriff's Office: Pacific Coast Highway will become one-way 4 lanes southbound to allow people in… https://t.co/v83c7I4cfi
215,215,0,"RT @BreakingNews: @kcranews City of Malibu, California: ""Fire is burning out of control, heading into populated areas of Malibu. All reside…"
216,216,2,".@kcranews: Calif. towns of Paradise and Pulga ordered to evacuate, according to Butte Co. Sheriff's Office and CHP… https://t.co/ZGg0oeZHnL"
217,217,0,"Emergency officials say evacuations being ordered in parts of Butte Co., Calif., north of Sacramento, due to fast-s… https://t.co/bhSl92yWfQ"
218,218,2,"Many injured in mass shooting at bar in Thousand Oaks, California, police say. https://t.co/6zzhsoA4tS"
219,219,1,"At least 5 people killed in shooting at bank in Sebring, Florida, police say; suspect in custody. https://t.co/z2BWxQF177"
