clusterno,tweetd
10,1085550090998173697
10,1085534607460782081
10,1073302029106380800
10,1134430929362010112
10,1075404771283079168
10,1073287801481936901
10,1135226164405051394
10,1135166873258090496
10,1072959493527494656
10,1101560430177275904
10,1075786675844984834
10,1072628707494375425
10,1133730974385266688
10,1078035622303014912
10,1072160034342219778
10,1131298264043724802
10,1131125386434220032
10,1072153754391203841
10,1135273864378892290
10,1135218551365742592
10,1071534535848935424
10,1070708022450765824
10,1070366894379667456
10,1070354622106218496
10,1133734825184157696
10,1060457145253158912
10,1060421912659156992
10,1134278327940845568
10,1093204484405293056
10,1060420654258827265
10,1132823359883030529
10,1083186762975981574
10,1060406812917215233
10,1133303469413158913
10,1060454628263890944
10,1060404296611700736
10,1133735505542172673
10,1131927290882007040
10,1060396747263016961
10,1088243612914253830
10,1060442045641355265
10,1060392720416563200
10,1133209074097643520
10,1131238406992912384
10,1060387687092256769
10,1102735386302967808
10,1060437012250087425
10,1060384981074231296
10,1072930473733697537
10,1060447078583799808
10,1060379491074220032
10,1133553671466364928
10,1123257560910508035
10,1060370326201069568
10,1075060551875727361
10,1060380137538179072
10,1060355347066638337
10,1133162323940708352
10,1060431978875371520
10,1060346887813980160
10,1135346953297039360
10,1060337549347041280
10,1060333625349210112
10,1078008214011211778
10,1075880592577871873
10,1060329258923581447
10,1115399146922442752
10,1060324699702468609
10,1060323507752628224
10,1060395236915060736
10,1060390203808874497
10,1060309873236295685
10,1107998983593619456
10,1060319502641053697
10,1060304689244368904
10,1060449595300478976
10,1060369064252428288
10,1060301432581169152
10,1060311183012450304
10,1060308806196977665
10,1060299525527613441
10,1060346038064726016
10,1060345526640693248
10,1060277038504988672
10,1072217916039401472
10,1060416879376789506
10,1060276272784388096
10,1060276586321248279
10,1060276017665843202
10,1060274255978528770
10,1060272893270155266
10,1060271022123954180
10,1060268741370544141
10,1135324834546819073
10,1060267658057277441
10,1060266613700788228
10,1133976354423279616
10,1060264865837838336
10,1060264335052816384
10,1103456733190598658
10,1103013392493830144
10,1060263553138089984
10,1060260043956932608
10,1060258507285581827
10,1060258228846690308
10,1131142384576811010
10,1060326213422641152
10,1060256412591382529
10,1134098196605657088
10,1131200690494332928
10,1060249485941596163
10,1060376865888624640
10,1060290788830167040
10,1060242316634533889
10,1134131126690295809
10,1060254472797073408
10,1060239936081797122
10,1070337986938720256
10,1070317733236105216
10,1060238050108813312
10,1135119053616549888
10,1135068767686447104
10,1060218950192189442
10,1060256208811147266
10,1060237255070097409
10,1060214666012606464
10,1133047910923407360
10,1060253540290052098
10,1060213473513234433
10,1134724660896178176
10,1133768730322898944
10,1060209112997339136
10,1134963230235910144
10,1132985092694007808
10,1060206918982164481
10,1073648297074745345
10,1060269531610955776
10,1060204585938284545
10,1133920378907242503
10,1060328300462116865
10,1060201380865064961
10,1080895888007090177
10,1060401783292420096
10,1060194665482407936
10,1073300722882658310
10,1060193609176268800
10,1060192195070869507
10,1060278668776407051
10,1060252473250725890
10,1060181327742427137
10,1060403038219714561
10,1060233263518748673
10,1060180069182631937
10,1081177187405971457
10,1060188877653078017
10,1060177552885469186
10,1060210992334942209
10,1060196048390492160
10,1060163712512901121
10,1134686035831660545
10,1060162455060402177
10,1060160440041381890
10,1060187115965833216
10,1060158678685401096
10,1060143578855366656
10,1131368504236625920
10,1060275085708349440
10,1060130995918303233
10,1073321250938859520
10,1060193915956006912
10,1060128730998140928
10,1060443303534084096
10,1060136029154361344
10,1060127270059364352
10,1060156665130074112
10,1060145340756754433
10,1060124706450358272
10,1135470448861483008
10,1060117155423903745
10,1060114637855825922
10,1060217511394848768
10,1060110111853563906
10,1060106081739948032
10,1060293810377248768
10,1060113607000760321
10,1060102810325475328
10,1060104571631136769
10,1060099789935673346
10,1060091288161267717
10,1060173418287583233
10,1060094507767672832
10,1060090227040116736
10,1060399263295959040
10,1060352345710755841
10,1060087710637944832
10,1060173781652525056
10,1060127220755324928
10,1060085193875304448
10,1134004162629382144
10,1060092743471398913
10,1060082681734709253
10,1124518284655640576
10,1060306255636520961
10,1060081253251211264
10,1133881984105766912
10,1133738528733650945
10,1060080067232124928
10,1060430721309966336
10,1060429462221832192
10,1060068408899915776
10,1133340012794265600
10,1060108346500378627
10,1060056988388913152
10,1135325219160117250
10,1135295020154515456
10,1060045441721659392
10,1060173482393243649
10,1060125963277754369
10,1060042917845315584
10,1135110443582787584
10,1060140464131792897
10,1060040614144864257
10,1060138245021986816
10,1060076418879668224
10,1060034230623789056
10,1135044909835182080
10,1060336368268857345
10,1060033171998326786
10,1060409329453387776
10,1060060937401589766
10,1060032571969560576
10,1060038907973255168
10,1060035193967382528
10,1060030568480628737
10,1060038445425410049
10,1060034663933190144
10,1060026399053021184
10,1060276573260144640
10,1060030779844186112
10,1060025883644313601
10,1086753669318508544
10,1060027227725856771
10,1060024790705156096
10,1060215819479728128
10,1060212717108318208
10,1060023555906252801
10,1060023062077284352
10,1060022817662664704
10,1060022131654909952
10,1060070849326116864
10,1060022345455284226
10,1060021375203729408
10,1060378376022753280
10,1060132254377299968
10,1060020823019397122
10,1060021263719194624
10,1060020441979502593
10,1060019821612556289
10,1060151128908881920
10,1060019982078230529
10,1060019567957893120
10,1134214169706848256
10,1060089037011193856
10,1060018857329483776
10,1060133512479563776
10,1060120967492571137
10,1060016700941365248
10,1060038073189367809
10,1060021938012209152
10,1060013627804172288
10,1087858738843787264
10,1060011874543157248
10,1060011589003366400
10,1060098531736936448
10,1060011586293784576
10,1060010619070484480
10,1060075213189193728
10,1060072906657595392
10,1060006460246110214
10,1060019662438711297
10,1060009409114456070
10,1060004719576469504
10,1060360759773822976
10,1060356499942375425
10,1060002851408302080
10,1060011180343877632
10,1060005916525891584
10,1060002848065363969
10,1135339340324847618
10,1135287743771291648
10,1060001798767939587
10,1060247919352258561
10,1060004230545788928
10,1060000313694937089
10,1060024795809570816
10,1060014629076779008
10,1059998947790520320
10,1060005621095956481
10,1059995114964160513
10,1059994348681617416
10,1059999759245688832
10,1059995466904096768
10,1059993670777212929
10,1059997219535888386
10,1059995432502333440
10,1059992968550117377
10,1060131829938900993
10,1060003834309828611
10,1059992280474501121
10,1059992759589892099
10,1059992444924841984
10,1059991221270122496
10,1059990630628315137
10,1059990453909635072
10,1059990431658852352
10,1059998248486744064
10,1059988568628715520
10,1059983726120259584
10,1059977431380094978
10,1059976437267095554
10,1059975668535037954
10,1060147354693586944
10,1060134015989100545
10,1059971444371869696
10,1134505365197021185
10,1106607535107260416
10,1059970029121425409
10,1059980403904335877
10,1059972702709207043
10,1059965153062592512
10,1059974950055014400
10,1059960899111473159
10,1059960751480283136
10,1059960108896149504
10,1059958569326600201
