clusterno,tweetd
1986,1110889730026233863
1987,1110694913392414720
1988,1110631995401486337
1989,1112397828545003520
1990,1111617230104604672
1991,1110552683952386048
1992,1111322899749711872
1993,1110608745296470021
1994,1110487480116150272
1995,1112040722172125185
1996,1110467241827594240
1997,1110404984913494016
1998,1093901287228346368
1999,1093703183120121857
2000,1110016874207735809
2001,1109043182636097536
2002,1112677594418348032
2003,1110516889464332289
2004,1110333621745917952
2005,1112316362171379713
2006,1111938871112224770
2007,1111836968609083392
2008,1111722620066643968
2009,1111847522136481792
2010,1110241103112855553
2011,1111830426790912000
2012,1073194563882356742
2013,1110671104404799489
2014,1110275942537146368
2015,1111217639353917440
2016,1112063433887887361
2017,1110236739925364736
2018,1111523084647968768
2019,1110334782431481856
2020,1110161095753379841
2021,1112302401216745472
2022,1112238258866540544
2023,1109991325682880512
2024,1110608143321624579
2025,1110442810925293568
2026,1109963066266042368
2027,1111290074967220224
2028,1110094433834491905
2029,1109918082510843907
2030,1112624536145612807
2031,1112571763135791105
2032,1109736781027659777
2033,1071254886677929984
2034,1111625191199780864
2035,1110607968947572737
2036,1109848701793722368
2037,1109446406257995776
2038,1108742402448216064
2039,1108919016725401600
2040,1090007809150935042
2041,1070452889984880640
2042,1067601083688726529
2043,1111866771269738496
2044,1109153040836243456
2045,1111387513682165760
2046,1111415662461612032
2047,1109554170426769412
2048,1112048849743421440
2049,1112029484478353409
2050,1111345323442614277
2051,1111248863506112513
2052,1111122978308349952
2053,1111071162224791554
2054,1110178858182078465
2055,1109876252624781313
2056,1109518135131062273
2057,1110012916303097857
2058,1109794914794131456
2059,1109762623715848195
2060,1109475616003448832
2061,1112530796143890434
2062,1112166631726288898
2063,1111804249028083713
2064,1111441863829938177
2065,1112138176959864832
2066,1110414305361567744
2067,1109412635802562560
2068,1110471790969667584
2069,1111878698905546753
2070,1110766839381065729
2071,1110050337719758848
2072,1109305382072213505
2073,1111128010881724416
2074,1110872145968721920
2075,1108673145320472576
2076,1111606432363765761
2077,1111596396766027777
2078,1111402585863258117
2079,1108559762205995015
2080,1111077052948582402
2081,1111763738959458305
2082,1110184053347680256
2083,1109125797808402433
2084,1112545263703465984
2085,1112484848789274625
2086,1109083651747299334
2087,1060167486350360576
2088,1059789701610172417
2089,1110015990455304194
2090,1109378437016420353
2091,1109079072112607232
2092,1109612005185540096
2093,1109057386755620866
2094,1109046819408003073
2095,1110015441655746560
2096,1109993600753065984
2097,1109037859279945729
2098,1112669408642633730
2099,1112059415652433921
2100,1109007582172270593
2101,1109098530801627139
2102,1108999133703094273
2103,1108933908614135811
2104,1112670306630553605
2105,1109426310957404161
2106,1108910072195891200
2107,1108933529629384706
2108,1108932803725418496
2109,1108802412431716352
2110,1108737407468355585
2111,1110869721002450944
2112,1108783343611592704
2113,1108763405954019333
2114,1108738160136200192
2115,1102975683129675776
2116,1110337728753909761
2117,1111931576277962753
2118,1111655975826669573
2119,1110140902796939264
2120,1108747479464509440
2121,1108747094611894273
2122,1109829891833376770
2123,1109547705683058693
2124,1107660197634428929
2125,1109222966628372482
2126,1108627768730927104
2127,1109471485356396544
2128,1086315419273752581
2129,1111145930533859328
2130,1112530172060807170
2131,1112466131959328768
2132,1112419286075662336
2133,1112071998539214851
2134,1108715747306549250
2135,1111768779359506433
2136,1108933387014684672
2137,1108641234556469248
2138,1111684620851048448
2139,1111675860418002946
2140,1111800255664869377
2141,1111675089894952960
2142,1111688227218427904
2143,1075866814083727366
2144,1075520922747092992
2145,1111272525986779137
2146,1108933094940147713
2147,1108627791082389504
2148,1110877392199913473
2149,1107995213446946816
2150,1108752122701627392
2151,1107998983593619456
2152,1112147629155209217
2153,1112072134531125250
2154,1107261922850861056
2155,1107057658731941888
2156,1112445477805608961
2157,1112257483182096385
2158,1112082834578173954
2159,1111161515770548224
2160,1110980828362870787
2161,1110938540664344578
